"","labels","links","Latitude","Longitude"
"45","Cornell Dairy Bar","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/cornelldairybar.cfm",42.4473495,-76.4732484
"47","Bear Necessities","https://living.sas.cornell.edu /living/dine/wheretoeat/cstores/bearnecessities.cfm",42.4423221,-76.4872978
"48","Jansen's Market","https://living.sas.cornell.edu /living/dine/wheretoeat/cstores/jansensmarket.cfm",42.4534478,-76.4910123
"51","Carol’s Café","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/carolscafe.cfm",42.4534452,-76.4910123
"52","North Star Dining Room","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/northstar.cfm",42.4535259,-76.4783553
"53","Risley Dining","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/risley.cfm",42.453041,-76.4841109
"54","Robert Purcell Marketplace Eatery","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/robertpurcellmarketplaceeatery.cfm",42.4559407,-76.4796581
"55","Sweet Sensations","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/sweetsensations.cfm",42.4535825,-76.4783072
"56","Amit Bhatia's Libe Café ","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/amitbhatialibecafe.cfm",42.4480805,-76.4867747
"57","Atrium Café","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/atriumcafe.cfm",42.4457864,-76.4854713
"58","Bear's Den","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/bears_den.cfm",42.4467172,-76.4878249
"59","Big Red Barn","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/bigredbarn.cfm",42.4484227,-76.4832169
"60","Bus Stop Bagels","https://living.sas.cornell.edu http://living.sas.cornell.edu/dine/wheretoeat/cafescoffeehouses/busstopbagels.cfm",42.4482542,-76.4814839
"61","Café Jennie","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/cafe-jennie.cfm",42.4466849,-76.4863926
"63","Green Dragon","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/greendragon.cfm",42.4508134,-76.4862022
"64","Goldie's","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/goldiescafe.cfm",42.450099,-76.4836112
"65","Ivy Room","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/ivyroom.cfm",42.4467172,-76.4878249
"66","Martha's Café","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/marthascafe.cfm",42.4500624,-76.4814158
"67","Mattin's Café","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/mattinscafe.cfm",42.4443652,-76.4845526
"68","Okenshields","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/okenshields.cfm",42.446679,-76.4857208
"69","Rusty's","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/rustys.cfm",42.4472154,-76.484334
"70","Synapsis Café","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/synapsiscafe.cfm",42.446891,-76.4799113
"71","Trillium","https://living.sas.cornell.edu /living/dine/wheretoeat/cafescoffeehouses/trillium.cfm",42.4478062,-76.4815657
"72","Becker House Dining Room","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/beckerhousedining.cfm",42.4483435,-76.4917249
"73","Cook House Dining Room","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/cookhousedining.cfm",42.4488146,-76.4916712
"74","Jansen’s Dining Room at Hans Bethe House","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/jansensdiningroom.cfm",42.4472589,-76.4909148
"76","Keeton House Dining Room ","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/keetonhousedining.cfm",42.4468473,-76.4916337
"77","Rose House Dining Room ","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/rosehousedining.cfm",42.4479873,-76.4893484
"78","104West","https://living.sas.cornell.edu /living/dine/wheretoeat/AYCTEdiningrooms/104westnew.cfm",42.4439353,-76.4897629
